Country Name,Country Code,Indicator Name,Indicator Code,2014
Azerbaijan,AZE,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,499148.3596
Azerbaijan,AZE,Labor volume for skilled females (millions),v_F_skl,502474.7492
Azerbaijan,AZE,Labor volume for skilled males (millions),v_M_skl,785686.5082
Azerbaijan,AZE,Labor volume for unskilled females (millions),v_F_nsk,465317.7112
Azerbaijan,AZE,Labor volume for unskilled male (millions),v_M_nsk,3034743.031
Azerbaijan,AZE,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,6.247702855
Azerbaijan,AZE,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,6.006279788
Azerbaijan,AZE,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,13.50982259
Azerbaijan,AZE,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,39.23619476
Azerbaijan,AZE,Value-added from Capital in GTAP10P3COD,gtap10VACapital,42783.52615
Azerbaijan,AZE,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,16213.21969
Azerbaijan,AZE,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,97.43989286
Azerbaijan,AZE,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,92.73844166
Bahrain,BHR,Annual wage for skilled female workers (US$ Dollars),w_F_skl,261248.6175
Bahrain,BHR,Annual wage for skilled male workers (US$ Dollars),w_M_skl,312561.3995
Bahrain,BHR,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,163561.6543
Bahrain,BHR,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,246889.4502
Bahrain,BHR,Labor volume for skilled females (millions),v_F_skl,141506.8192
Bahrain,BHR,Labor volume for skilled males (millions),v_M_skl,192405.6653
Bahrain,BHR,Labor volume for unskilled females (millions),v_F_nsk,65388.89772
Bahrain,BHR,Labor volume for unskilled male (millions),v_M_nsk,359521.6178
Bahrain,BHR,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,6.260067644
Bahrain,BHR,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,6.011109989
Bahrain,BHR,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,13.48210645
Bahrain,BHR,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,39.24671592
Bahrain,BHR,Value-added from Capital in GTAP10P3COD,gtap10VACapital,21907.87347
Bahrain,BHR,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,8721.148814
Bahrain,BHR,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,103.8439515
Bahrain,BHR,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,81.95222945
Bangladesh,BGD,Annual wage for skilled female workers (US$ Dollars),w_F_skl,143073.9003
Bangladesh,BGD,Annual wage for skilled male workers (US$ Dollars),w_M_skl,164940.2366
Bangladesh,BGD,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,76913.41019
Bangladesh,BGD,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,105624.3233
Bangladesh,BGD,Labor volume for skilled females (millions),v_F_skl,2431326.692
Bangladesh,BGD,Labor volume for skilled males (millions),v_M_skl,11479926.93
Bangladesh,BGD,Labor volume for unskilled females (millions),v_F_nsk,8803231.909
Bangladesh,BGD,Labor volume for unskilled male (millions),v_M_nsk,40382022.46
Bangladesh,BGD,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,2.667914634
Bangladesh,BGD,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,11.31536576
Bangladesh,BGD,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,14.71228504
Bangladesh,BGD,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,36.30443457
Bangladesh,BGD,Value-added from Capital in GTAP10P3COD,gtap10VACapital,70473.61826
Bangladesh,BGD,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,79905.86174
Bangladesh,BGD,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,122.4689877
Bangladesh,BGD,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,101.6941662
Belarus,BLR,Annual wage for skilled female workers (US$ Dollars),w_F_skl,169312.0959
Belarus,BLR,Annual wage for skilled male workers (US$ Dollars),w_M_skl,226462.6183
Belarus,BLR,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,113323.8715
Belarus,BLR,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,157911.6077
Belarus,BLR,Labor volume for skilled females (millions),v_F_skl,811573.5684
Belarus,BLR,Labor volume for skilled males (millions),v_M_skl,1202432.73
Belarus,BLR,Labor volume for unskilled females (millions),v_F_nsk,396815.3277
Belarus,BLR,Labor volume for unskilled male (millions),v_M_nsk,2703692.374
Belarus,BLR,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,6.332386056
Belarus,BLR,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,6.032419429
Belarus,BLR,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,13.35285265
Belarus,BLR,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,39.28234186
Belarus,BLR,Value-added from Capital in GTAP10P3COD,gtap10VACapital,23655.0351
Belarus,BLR,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,32907.59187
Belarus,BLR,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,97.43989286
Belarus,BLR,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,92.73844166
Belgium,BEL,Annual wage for skilled female workers (US$ Dollars),w_F_skl,3029378.658
Belgium,BEL,Annual wage for skilled male workers (US$ Dollars),w_M_skl,4054731.099
Belgium,BEL,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,2031977.374
Belgium,BEL,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,2841395.756
Belgium,BEL,Labor volume for skilled females (millions),v_F_skl,956392.7778
Belgium,BEL,Labor volume for skilled males (millions),v_M_skl,1365894.474
Belgium,BEL,Labor volume for unskilled females (millions),v_F_nsk,408544.1022
Belgium,BEL,Labor volume for unskilled male (millions),v_M_nsk,2253636.646
Belgium,BEL,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,6.22459454
Belgium,BEL,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,5.987942954
Belgium,BEL,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,13.57989296
Belgium,BEL,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,39.20756955
Belgium,BEL,Value-added from Capital in GTAP10P3COD,gtap10VACapital,272183.3751
Belgium,BEL,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,70289.70553
Belgium,BEL,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,97.43989286
Belgium,BEL,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,92.73844166
Benin,BEN,Annual wage for skilled female workers (US$ Dollars),w_F_skl,351151.6724
Benin,BEN,Annual wage for skilled male workers (US$ Dollars),w_M_skl,338131.8264
Benin,BEN,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,195976.6165
Benin,BEN,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,215127.6705
Benin,BEN,Labor volume for skilled females (millions),v_F_skl,745966.0703
Benin,BEN,Labor volume for skilled males (millions),v_M_skl,901064.725
Benin,BEN,Labor volume for unskilled females (millions),v_F_nsk,372303.9772
Benin,BEN,Labor volume for unskilled male (millions),v_M_nsk,2123421.227
Benin,BEN,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,6.462661586
Benin,BEN,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,6.060459146
Benin,BEN,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,13.22973928
Benin,BEN,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,39.24713999
Benin,BEN,Value-added from Capital in GTAP10P3COD,gtap10VACapital,1953.230897
Benin,BEN,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,4190.392275
Benin,BEN,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,116.9544971
Benin,BEN,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,102.2939873
Bolivia,BOL,Annual wage for skilled female workers (US$ Dollars),w_F_skl,317750.324
Bolivia,BOL,Annual wage for skilled male workers (US$ Dollars),w_M_skl,390776.2273
Bolivia,BOL,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,198743.194
Bolivia,BOL,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,275447.2835
Bolivia,BOL,Labor volume for skilled females (millions),v_F_skl,1412712.764
Bolivia,BOL,Labor volume for skilled males (millions),v_M_skl,1956191.956
Bolivia,BOL,Labor volume for unskilled females (millions),v_F_nsk,591704.6761
Bolivia,BOL,Labor volume for unskilled male (millions),v_M_nsk,1092289.604
Bolivia,BOL,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,11.26753118
Bolivia,BOL,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,7.820229362
Bolivia,BOL,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,29.09525291
Bolivia,BOL,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,16.81698655
Bolivia,BOL,Value-added from Capital in GTAP10P3COD,gtap10VACapital,11487.3718
Bolivia,BOL,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,12988.22768
Bolivia,BOL,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,104.6944554
Bolivia,BOL,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,92.22395076
Botswana,BWA,Annual wage for skilled female workers (US$ Dollars),w_F_skl,954773.0244
Botswana,BWA,Annual wage for skilled male workers (US$ Dollars),w_M_skl,1138353.378
Botswana,BWA,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,423437.8637
Botswana,BWA,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,662479.0526
Botswana,BWA,Labor volume for skilled females (millions),v_F_skl,80679.99197
Botswana,BWA,Labor volume for skilled males (millions),v_M_skl,195124.4862
Botswana,BWA,Labor volume for unskilled females (millions),v_F_nsk,399614.9284
Botswana,BWA,Labor volume for unskilled male (millions),v_M_nsk,378148.5934
Botswana,BWA,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,4.497889946
Botswana,BWA,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,23.73197743
Botswana,BWA,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,7.932188995
Botswana,BWA,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,28.83794363
Botswana,BWA,Value-added from Capital in GTAP10P3COD,gtap10VACapital,9031.971409
Botswana,BWA,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,5549.625586
Botswana,BWA,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,144.4438512
Botswana,BWA,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,107.3977099
Brazil,BRA,Annual wage for skilled female workers (US$ Dollars),w_F_skl,815927.1216
Brazil,BRA,Annual wage for skilled male workers (US$ Dollars),w_M_skl,1024158.361
Brazil,BRA,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,377893.8765
Brazil,BRA,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,502522.195
Brazil,BRA,Labor volume for skilled females (millions),v_F_skl,12581749.41
Brazil,BRA,Labor volume for skilled males (millions),v_M_skl,9602628.419
Brazil,BRA,Labor volume for unskilled females (millions),v_F_nsk,29183712.74
Brazil,BRA,Labor volume for unskilled male (millions),v_M_nsk,49235463.43
Brazil,BRA,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,4.391653277
Brazil,BRA,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,16.22839389
Brazil,BRA,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,5.80043325
Brazil,BRA,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,38.57951958
Brazil,BRA,Value-added from Capital in GTAP10P3COD,gtap10VACapital,878850.967
Brazil,BRA,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,930370.8163
Brazil,BRA,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,143.1904519
Brazil,BRA,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,133.4798055
Brunei Darussalam,BRN,Annual wage for skilled female workers (US$ Dollars),w_F_skl,8216303.603
Brunei Darussalam,BRN,Annual wage for skilled male workers (US$ Dollars),w_M_skl,7337039.627
Brunei Darussalam,BRN,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,4871027.545
Brunei Darussalam,BRN,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,5155954.874
Brunei Darussalam,BRN,Labor volume for skilled females (millions),v_F_skl,40150.86158
Brunei Darussalam,BRN,Labor volume for skilled males (millions),v_M_skl,62089.81597
Brunei Darussalam,BRN,Labor volume for unskilled females (millions),v_F_nsk,13864.29765
Brunei Darussalam,BRN,Labor volume for unskilled male (millions),v_M_nsk,90010.02479
Brunei Darussalam,BRN,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,6.2857754
Brunei Darussalam,BRN,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,6.013566704
Brunei Darussalam,BRN,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,13.26230793
Brunei Darussalam,BRN,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,39.43834997
Brunei Darussalam,BRN,Value-added from Capital in GTAP10P3COD,gtap10VACapital,10262.93496
Brunei Darussalam,BRN,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,2836.869322
Brunei Darussalam,BRN,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,113.7834354
Brunei Darussalam,BRN,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,102.3465006
Bulgaria,BGR,Annual wage for skilled female workers (US$ Dollars),w_F_skl,532304.8477
Bulgaria,BGR,Annual wage for skilled male workers (US$ Dollars),w_M_skl,509557.8031
Bulgaria,BGR,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,335014.8306
Bulgaria,BGR,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,438049.3713
Bulgaria,BGR,Labor volume for skilled females (millions),v_F_skl,1161268.186
Bulgaria,BGR,Labor volume for skilled males (millions),v_M_skl,1143946.58
Bulgaria,BGR,Labor volume for unskilled females (millions),v_F_nsk,357896.738
Bulgaria,BGR,Labor volume for unskilled male (millions),v_M_nsk,707840.4962
Bulgaria,BGR,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,19.59128671
Bulgaria,BGR,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,7.601733815
Bulgaria,BGR,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,22.90472114
Bulgaria,BGR,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,14.90225833
Bulgaria,BGR,Value-added from Capital in GTAP10P3COD,gtap10VACapital,31218.08978
Bulgaria,BGR,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,11331.52693
Bulgaria,BGR,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,103.0705791
Bulgaria,BGR,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,75.15990252
Burkina Faso,BFA,Annual wage for skilled female workers (US$ Dollars),w_F_skl,151920.2548
Burkina Faso,BFA,Annual wage for skilled male workers (US$ Dollars),w_M_skl,360505.5182
Burkina Faso,BFA,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,92741.68882
Burkina Faso,BFA,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,205128.9241
Burkina Faso,BFA,Labor volume for skilled females (millions),v_F_skl,611505.849
Burkina Faso,BFA,Labor volume for skilled males (millions),v_M_skl,1357560.7
Burkina Faso,BFA,Labor volume for unskilled females (millions),v_F_nsk,1272170.066
Burkina Faso,BFA,Labor volume for unskilled male (millions),v_M_nsk,3118757.384
Burkina Faso,BFA,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,3.370357189
Burkina Faso,BFA,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,14.73775512
Burkina Faso,BFA,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,13.20135425
Burkina Faso,BFA,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,33.69053345
Burkina Faso,BFA,Value-added from Capital in GTAP10P3COD,gtap10VACapital,6142.550602
Burkina Faso,BFA,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,4088.041415
Burkina Faso,BFA,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,100.3052206
Burkina Faso,BFA,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,114.6642769
Cambodia,KHM,Annual wage for skilled female workers (US$ Dollars),w_F_skl,170079.1034
Cambodia,KHM,Annual wage for skilled male workers (US$ Dollars),w_M_skl,171693.6107
Cambodia,KHM,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,103260.0964
Cambodia,KHM,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,121152.5718
Cambodia,KHM,Labor volume for skilled females (millions),v_F_skl,864493.2172
Cambodia,KHM,Labor volume for skilled males (millions),v_M_skl,1051705.513
Cambodia,KHM,Labor volume for unskilled females (millions),v_F_nsk,3880753.5
Cambodia,KHM,Labor volume for unskilled male (millions),v_M_nsk,2736716.77
Cambodia,KHM,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,5.407559461
Cambodia,KHM,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,21.95706535
Cambodia,KHM,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,12.15699766
Cambodia,KHM,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,25.47837752
Cambodia,KHM,Value-added from Capital in GTAP10P3COD,gtap10VACapital,7159.505498
Cambodia,KHM,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,5946.69936
Cambodia,KHM,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,108.2595779
Cambodia,KHM,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,91.75956349
Cameroon,CMR,Annual wage for skilled female workers (US$ Dollars),w_F_skl,175610.9177
Cameroon,CMR,Annual wage for skilled male workers (US$ Dollars),w_M_skl,247655.7746
Cameroon,CMR,Annual wage for unskilled female workers (US$ Dollars),w_F_nsk,110862.5124
Cameroon,CMR,Annual wage for unskilled male workers (US$ Dollars),w_M_nsk,162798.8056
Cameroon,CMR,Labor volume for skilled females (millions),v_F_skl,1000089.796
Cameroon,CMR,Labor volume for skilled males (millions),v_M_skl,3239607.359
Cameroon,CMR,Labor volume for unskilled females (millions),v_F_nsk,1226959.975
Cameroon,CMR,Labor volume for unskilled male (millions),v_M_nsk,4171964.871
Cameroon,CMR,"Share of female skilled worker out of all workers in this sector, %",p_F_skl,5.702955184
Cameroon,CMR,"Share of female unskilled worker out of all workers in this sector, %",p_F_nsk,9.426681878
Cameroon,CMR,"Share of male skilled worker out of all workers in this sector, %",p_M_skl,21.62947573
Cameroon,CMR,"Share of male unskilled worker out of all workers in this sector, %",p_M_nsk,28.24088721
Cameroon,CMR,Value-added from Capital in GTAP10P3COD,gtap10VACapital,9971.857484
Cameroon,CMR,Value-added from labor in GTAP10P3COD (in USD 2014 million),gtap10VALabor,15769.04406
Cameroon,CMR,Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage),wpremia_F,104.6582675
Cameroon,CMR,Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage),wpremia_M,102.8434135
Canada,CAN,Annual wage for skilled female workers (US$ Dollars),w_F_skl,3384403.296
